Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour
Tuesday,31-50,Male,High school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,  Recreational areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,12
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Unknown,No defect,  Market areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Overtaking,Slight Injury,12
Wednesday,18-30,Male,Elementary school,Employee,1-2yr,Lorry (11?40Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Moving Backward,Not a Pedestrian,Other,Serious Injury,8
Wednesday,18-30,Male,Junior high school,Employee,Unknown,Automobile,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Driving to the left,Serious Injury,8
Wednesday,Over 51,Male,Above high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect, Industrial areas,Two-way (divided with broken lines road marking),Unknown,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,3,Other,Not a Pedestrian,Overtaking,Serious Injury,8
Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Governmental,2-5yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Windy,Rollover,3,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to vehicle,Slight Injury,12
Friday,Over 51,Male,Junior high school,Employee,1-2yr,Motorcycle,Governmental,Unknown,Unknown,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Windy,Collision with pedestrians,3,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,12
Friday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,Unknown,Unknown,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Other,Slight Injury,12
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,12
Thursday,31-50,Male,Unknown,Unknown,Unknown,Automobile,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Unknown,Not a Pedestrian,No priority to pedestrian,Slight Injury,12
Sunday,Under 18,Male,Junior high school,Employee,2-5yr,Other,Organization,Unknown,Unknown,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,3,Moving Backward,Not a Pedestrian,Changing lane to the right,Slight Injury,11
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Other,Governmental,2-5yrs,Unknown,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,3,Unknown,Not a Pedestrian,Changing lane to the right,Slight Injury,11
Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Taxi,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,11
Sunday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Above 10yr,Unknown,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Driving to the left,Slight Injury,11
Monday,Over 51,Male,Above high school,Owner,1-2yr,Long lorry,Unknown,Unknown,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,Unknown,Not a Pedestrian,Changing lane to the left,Serious Injury,10
Thursday,31-50,Male,Above high school,Employee,No Licence,Long lorry,Owner,2-5yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - no lighting,Cloudy,Collision with roadside objects,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,22
Thursday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,2-5yrs,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving at high speed,Slight Injury,22
Friday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,Unknown, Church areas,other,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,17
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,2-5yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,17
Tuesday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,Unknown,Unknown,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Crossing from driver's nearside,Other,Slight Injury,12
Tuesday,31-50,Male,Junior high school,Owner,5-10yr,Taxi,Owner,1-2yr,Unknown,School areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,12
Tuesday,Over 51,Male,Elementary school,Employee,2-5yr,Other,Owner,5-10yrs,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury,8
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Below 1yr,Unknown,Other,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Other,Not a Pedestrian,Other,Serious Injury,8
Tuesday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,Going straight,Not a Pedestrian,No distancing,Serious Injury,8
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,1,Going straight,Not a Pedestrian,Driving carelessly,Serious Injury,17
Wednesday,Unknown,Female,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,17
Thursday,31-50,Male,Elementary school,Employee,5-10yr,Public (> 45 seats),Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Unknown or other,Moving Backward,Slight Injury,9
Thursday,Over 51,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,9
Friday,31-50,Male,Unknown,Unknown,Unknown,Lorry (41?100Q),Owner,Unknown,Unknown, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Moving Backward,Serious Injury,18
Friday,Unknown,Female,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Moving Backward,Not a Pedestrian,No priority to pedestrian,Serious Injury,18
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,19
Tuesday,31-50,Male,Above high school,Employee,2-5yr,Other,Owner,2-5yrs,Unknown,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,19
Tuesday,31-50,Male,Unknown,Unknown,Unknown,Automobile,Owner,2-5yrs,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Other,Slight Injury,19
Tuesday,31-50,Male,Unknown,Employee,1-2yr,Pick up upto 10Q,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,19
Friday,31-50,Male,Junior high school,Employee,2-5yr,Motorcycle,Owner,5-10yrs,7,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Crossing from driver's nearside,No priority to pedestrian,Serious Injury,13
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,7,Other,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Moving Backward,Serious Injury,13
Wednesday,Over 51,Male,Junior high school,Employee,Below 1yr,Pick up upto 10Q,Owner,Unknown,No defect,Office areas,Unknown,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,8
Tuesday,Under 18,Male,Junior high school,Employee,2-5yr,Motorcycle,Governmental,Unknown,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No distancing,Serious Injury,13
Monday,31-50,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Unknown,Asphalt roads,Wet or damp,Darkness - lights unlit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,16
Monday,31-50,Male,High school,Employee,5-10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with rolling terrain,Unknown,Asphalt roads,Wet or damp,Darkness - lights unlit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,16
Thursday,18-30,Male,Above high school,Employee,1-2yr,Taxi,Governmental,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,8
Thursday,Over 51,Male,Junior high school,Employee,Below 1yr,Automobile,Unknown,Unknown,Unknown,Office areas,Unknown,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,8
Thursday,Over 51,Male,Unknown,Unknown,Unknown,Long lorry,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,Other,Not a Pedestrian,Changing lane to the left,Slight Injury,8
Thursday,31-50,Male,High school,Employee,Below 1yr,Automobile,Governmental,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Collision with roadside objects,1,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,2
Wednesday,Over 51,Male,High school,Employee,Below 1yr,Public (12 seats),Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,7
Wednesday,31-50,Male,Unknown,Unknown,Unknown,Lorry (11?40Q),Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Collision with pedestrians,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,7
Wednesday,Over 51,Male,High school,Employee,2-5yr,Pick up upto 10Q,Owner,Below 1yr,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No distancing,Fatal injury,11
Thursday,Over 51,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Organization,1-2yr,Unknown, Church areas,Unknown,Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,Going straight,Not a Pedestrian,No distancing,Serious Injury,18
Thursday,Under 18,Male,Junior high school,Employee,Above 10yr,Other,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury,18
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,14
Saturday,18-30,Male,Junior high school,Employee,1-2yr,Long lorry,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,Other,Not a Pedestrian,No priority to vehicle,Slight Injury,14
Saturday,Unknown,Female,Unknown,Employee,Below 1yr,Lorry (11?40Q),Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,2
Wednesday,Over 51,Male,Junior high school,Employee,Below 1yr,Long lorry,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Unknown,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No priority to vehicle,Serious Injury,17
